locat176 comcat.ComcatLocalCatalog test3 opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt us20003k7a 30.000 90.0 400.0 3.5
Loading catalog: [opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt]
Fetching event: us20003k7a
ObsEqkRupture:
rup_event_id = us20003k7a
rup_time = 1442444072860 (2015-09-16 22:54:32 UTC)
rup_mag = 8.3
rup_lat = -31.5729
rup_lon = -71.6744
rup_depth = 22.44
description = 48km W of Illapel, Chile
ids = ,us20003k7a,gcmt20150916225432,gcmt20150916225433,at00nuskyv,pt15259054,atlas20150916225432,
net = us
code = 20003k7a

Fetching event list
min_days = 30.0
max_days = 90.0
radius_km = 400.0
min_mag = 3.5
Events returned by fetchEventList = 209
List of events returned by fetchEventList:
62: us1000418f (time = 2015-11-21 22:16:58 UTC, mag = 4.400, lat = -30.58320, lon = -71.79210, depth = 27.060)
63: us1000406r (time = 2015-11-21 22:12:35 UTC, mag = 4.100, lat = -30.55350, lon = -71.82740, depth = 22.970)
64: us10004057 (time = 2015-11-21 19:37:58 UTC, mag = 4.300, lat = -31.54900, lon = -71.72970, depth = 30.090)
65: us1000404c (time = 2015-11-21 16:11:34 UTC, mag = 4.300, lat = -34.95300, lon = -71.62900, depth = 46.900)
66: us100040al (time = 2015-11-21 00:12:34 UTC, mag = 4.400, lat = -32.96260, lon = -70.18370, depth = 107.280)
67: us10003zmr (time = 2015-11-19 20:29:29 UTC, mag = 4.100, lat = -31.07650, lon = -72.02900, depth = 24.110)
68: us10003ziv (time = 2015-11-19 14:31:08 UTC, mag = 4.400, lat = -31.30890, lon = -72.57940, depth = 10.000)
69: us10003zh0 (time = 2015-11-19 07:47:27 UTC, mag = 4.500, lat = -30.35130, lon = -72.11780, depth = 8.210)
70: us10003zg3 (time = 2015-11-19 05:02:24 UTC, mag = 4.100, lat = -30.23810, lon = -71.64890, depth = 27.860)
71: us10003yy2 (time = 2015-11-17 13:16:27 UTC, mag = 4.100, lat = -30.68830, lon = -71.49260, depth = 48.580)
72: us10003yxk (time = 2015-11-17 10:57:26 UTC, mag = 4.200, lat = -31.76370, lon = -71.93080, depth = 32.250)
73: us10003ytn (time = 2015-11-16 20:52:19 UTC, mag = 4.600, lat = -30.28950, lon = -72.01550, depth = 7.800)
74: us10003zk5 (time = 2015-11-16 16:46:00 UTC, mag = 4.300, lat = -29.91800, lon = -72.12740, depth = 10.000)
75: us10003yp4 (time = 2015-11-16 15:15:29 UTC, mag = 4.100, lat = -31.83780, lon = -72.04610, depth = 10.000)
76: us10003yn6 (time = 2015-11-16 09:57:07 UTC, mag = 4.400, lat = -30.61510, lon = -71.40870, depth = 50.330)
77: us10003ykf (time = 2015-11-16 02:32:03 UTC, mag = 4.300, lat = -30.85630, lon = -71.74150, depth = 36.830)
78: us10003zek (time = 2015-11-16 01:57:10 UTC, mag = 4.300, lat = -31.57630, lon = -71.48180, depth = 37.570)
79: us10003yiu (time = 2015-11-15 19:06:27 UTC, mag = 4.300, lat = -34.68110, lon = -72.54460, depth = 10.000)
80: us10003yii (time = 2015-11-15 17:02:53 UTC, mag = 4.300, lat = -29.78430, lon = -72.05100, depth = 10.000)
81: us10003za5 (time = 2015-11-14 21:49:09 UTC, mag = 4.300, lat = -29.48770, lon = -71.96650, depth = 17.050)
82: us10003z9d (time = 2015-11-14 14:54:54 UTC, mag = 4.300, lat = -29.36530, lon = -71.93290, depth = 35.000)
83: us10003ycb (time = 2015-11-14 12:58:19 UTC, mag = 4.400, lat = -30.74000, lon = -71.41300, depth = 43.900)
84: us10003yb9 (time = 2015-11-14 07:43:07 UTC, mag = 4.400, lat = -29.56870, lon = -72.09990, depth = 10.050)
85: us10003y6t (time = 2015-11-13 20:28:20 UTC, mag = 4.300, lat = -29.75440, lon = -72.00390, depth = 17.520)
86: us10003y3a (time = 2015-11-13 14:36:52 UTC, mag = 4.400, lat = -29.59360, lon = -72.32310, depth = 10.000)
